Fra:2 Mem:256.53M (Peak 257.60M) | Time:00:01.49 | Syncing Plane.003
Fra:2 Mem:256.59M (Peak 257.60M) | Time:00:01.84 | Syncing Plane.001
Fra:2 Mem:256.61M (Peak 257.60M) | Time:00:02.04 | Syncing Plane
Fra:2 Mem:256.62M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.004
Fra:2 Mem:256.64M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.005
Fra:2 Mem:256.65M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.124
Fra:2 Mem:256.66M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.125
Fra:2 Mem:256.67M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.126
Fra:2 Mem:256.68M (Peak 257.60M) | Time:00:02.04 | Syncing Plane.127
Fra:2 Mem:256.69M (Peak 257.60M) | Time:00:02.04 | Syncing Cylinder
Fra:2 Mem:257.16M (Peak 257.60M) | Time:00:02.19 | Syncing Cube
Fra:2 Mem:257.19M (Peak 257.60M) | Time:00:02.39 | Syncing Cylinder.001
Fra:2 Mem:257.64M (Peak 257.64M) | Time:00:02.39 | Syncing Cylinder.002
Fra:2 Mem:258.10M (Peak 258.10M) | Time:00:02.39 | Syncing Cylinder.003
Fra:2 Mem:258.56M (Peak 258.56M) | Time:00:02.40 | Syncing Cylinder.004
Fra:2 Mem:259.02M (Peak 259.02M) | Time:00:02.41 | Syncing Cylinder.005
Fra:2 Mem:259.51M (Peak 259.51M) | Time:00:02.43 | Syncing Cylinder.006
Fra:2 Mem:260.00M (Peak 260.00M) | Time:00:02.45 | Syncing Cylinder.007
Fra:2 Mem:260.48M (Peak 260.48M) | Time:00:02.46 | Syncing Cylinder.008
Fra:2 Mem:260.97M (Peak 260.97M) | Time:00:02.47 | Syncing Cylinder.009
Fra:2 Mem:261.43M (Peak 261.43M) | Time:00:02.47 | Syncing Cylinder.010
Fra:2 Mem:261.92M (Peak 261.92M) | Time:00:02.48 | Syncing Cylinder.011
Fra:2 Mem:262.40M (Peak 262.40M) | Time:00:02.48 | Syncing Cylinder.012
Fra:2 Mem:262.89M (Peak 262.89M) | Time:00:02.50 | Syncing Cylinder.013
Fra:2 Mem:263.38M (Peak 263.38M) | Time:00:02.50 | Syncing Cylinder.014
Fra:2 Mem:263.87M (Peak 263.87M) | Time:00:02.51 | Syncing Cylinder.015
Fra:2 Mem:264.32M (Peak 264.32M) | Time:00:02.51 | Syncing Cylinder.016
Fra:2 Mem:264.81M (Peak 264.81M) | Time:00:02.53 | Syncing Cylinder.017
Fra:2 Mem:265.30M (Peak 265.30M) | Time:00:02.54 | Syncing Cylinder.018
Fra:2 Mem:265.79M (Peak 265.79M) | Time:00:02.55 | Syncing Cylinder.019
Fra:2 Mem:266.24M (Peak 266.24M) | Time:00:02.56 | Syncing Plane.006
Fra:2 Mem:266.26M (Peak 266.26M) | Time:00:02.56 | Syncing Plane.007
Fra:2 Mem:266.28M (Peak 266.28M) | Time:00:02.56 | Syncing Plane.008
Fra:2 Mem:266.30M (Peak 266.30M) | Time:00:02.56 | Syncing Plane.009
Fra:2 Mem:266.31M (Peak 266.31M) | Time:00:02.56 | Syncing Plane.010
Fra:2 Mem:266.33M (Peak 266.33M) | Time:00:02.56 | Syncing Plane.011
Fra:2 Mem:266.35M (Peak 266.35M) | Time:00:02.56 | Syncing Cylinder.100
Fra:2 Mem:266.84M (Peak 266.84M) | Time:00:02.57 | Syncing Cylinder.101
Fra:2 Mem:267.32M (Peak 267.32M) | Time:00:02.57 | Syncing Cylinder.102
Fra:2 Mem:267.81M (Peak 267.81M) | Time:00:02.58 | Syncing Cylinder.103
Fra:2 Mem:268.30M (Peak 268.30M) | Time:00:02.59 | Syncing Cylinder.104
Fra:2 Mem:268.79M (Peak 268.79M) | Time:00:02.59 | Syncing Cylinder.105
Fra:2 Mem:269.24M (Peak 269.24M) | Time:00:02.60 | Syncing Cylinder.106
Fra:2 Mem:269.70M (Peak 269.70M) | Time:00:02.60 | Syncing Cylinder.107
Fra:2 Mem:270.16M (Peak 270.16M) | Time:00:02.61 | Syncing Cylinder.108
Fra:2 Mem:270.62M (Peak 270.62M) | Time:00:02.61 | Syncing Cylinder.109
Fra:2 Mem:271.11M (Peak 271.11M) | Time:00:02.62 | Syncing Cylinder.110
Fra:2 Mem:271.56M (Peak 271.56M) | Time:00:02.63 | Syncing Cylinder.111
Fra:2 Mem:272.02M (Peak 272.02M) | Time:00:02.63 | Syncing Cylinder.112
Fra:2 Mem:272.48M (Peak 272.48M) | Time:00:02.63 | Syncing Cylinder.113
Fra:2 Mem:272.94M (Peak 272.94M) | Time:00:02.64 | Syncing Cylinder.114
Fra:2 Mem:273.39M (Peak 273.39M) | Time:00:02.64 | Syncing Cylinder.115
Fra:2 Mem:273.88M (Peak 273.88M) | Time:00:02.65 | Syncing Cylinder.116
Fra:2 Mem:274.34M (Peak 274.34M) | Time:00:02.65 | Syncing Cylinder.117
Fra:2 Mem:274.80M (Peak 274.80M) | Time:00:02.66 | Syncing Cylinder.118
Fra:2 Mem:275.26M (Peak 275.26M) | Time:00:02.66 | Syncing Cylinder.119
Fra:2 Mem:275.74M (Peak 275.74M) | Time:00:02.67 | Syncing Cylinder.020
Fra:2 Mem:276.20M (Peak 276.20M) | Time:00:02.67 | Syncing Plane.165
Fra:2 Mem:276.22M (Peak 276.22M) | Time:00:02.68 | Syncing Plane.166
Fra:2 Mem:276.23M (Peak 276.23M) | Time:00:02.68 | Syncing Plane.167
Fra:2 Mem:276.25M (Peak 276.25M) | Time:00:02.68 | Syncing Plane.183
Fra:2 Mem:276.27M (Peak 276.27M) | Time:00:02.68 | Syncing Plane.184
Fra:2 Mem:276.29M (Peak 276.29M) | Time:00:02.68 | Syncing Plane.185
Fra:2 Mem:276.30M (Peak 276.30M) | Time:00:02.68 | Syncing Plane.225
Fra:2 Mem:276.32M (Peak 276.32M) | Time:00:02.68 | Syncing Plane.226
Fra:2 Mem:276.34M (Peak 276.34M) | Time:00:02.68 | Syncing Plane.227
Fra:2 Mem:276.36M (Peak 276.36M) | Time:00:02.68 | Syncing Plane.243
Fra:2 Mem:276.37M (Peak 276.37M) | Time:00:02.68 | Syncing Plane.244
Fra:2 Mem:276.39M (Peak 276.39M) | Time:00:02.68 | Syncing Plane.245
Fra:2 Mem:276.41M (Peak 276.41M) | Time:00:02.68 | Syncing Plane.285
Fra:2 Mem:276.43M (Peak 276.43M) | Time:00:02.68 | Syncing Plane.286
Fra:2 Mem:276.44M (Peak 276.44M) | Time:00:02.68 | Syncing Plane.287
Fra:2 Mem:276.46M (Peak 276.46M) | Time:00:02.68 | Syncing Plane.303
Fra:2 Mem:276.48M (Peak 276.48M) | Time:00:02.68 | Syncing Plane.304
Fra:2 Mem:276.49M (Peak 276.49M) | Time:00:02.68 | Syncing Plane.305
Fra:2 Mem:276.51M (Peak 276.51M) | Time:00:02.68 | Syncing Plane.345
Fra:2 Mem:276.53M (Peak 276.53M) | Time:00:02.68 | Syncing Plane.346
Fra:2 Mem:276.55M (Peak 276.55M) | Time:00:02.68 | Syncing Plane.347
Fra:2 Mem:276.56M (Peak 276.56M) | Time:00:02.68 | Syncing Plane.363
Fra:2 Mem:276.58M (Peak 276.58M) | Time:00:02.68 | Syncing Plane.364
Fra:2 Mem:276.60M (Peak 276.60M) | Time:00:02.68 | Syncing Plane.365
Fra:2 Mem:276.61M (Peak 276.61M) | Time:00:02.68 | Syncing Plane.405
Fra:2 Mem:276.63M (Peak 276.63M) | Time:00:02.68 | Syncing Plane.406
Fra:2 Mem:276.65M (Peak 276.65M) | Time:00:02.68 | Syncing Plane.407
Fra:2 Mem:276.67M (Peak 276.67M) | Time:00:02.68 | Syncing Plane.423
Fra:2 Mem:276.68M (Peak 276.68M) | Time:00:02.68 | Syncing Plane.424
Fra:2 Mem:276.70M (Peak 276.70M) | Time:00:02.68 | Syncing Plane.425
Fra:2 Mem:276.72M (Peak 276.72M) | Time:00:02.68 | Syncing Cylinder.080
Fra:2 Mem:277.21M (Peak 277.21M) | Time:00:02.70 | Syncing Cube.002
Fra:2 Mem:277.22M (Peak 277.22M) | Time:00:02.70 | Syncing Cylinder.081
Fra:2 Mem:277.71M (Peak 277.71M) | Time:00:02.71 | Syncing Cylinder.082
Fra:2 Mem:278.20M (Peak 278.20M) | Time:00:02.71 | Syncing Cylinder.083
Fra:2 Mem:278.68M (Peak 278.68M) | Time:00:02.72 | Syncing Cylinder.084
Fra:2 Mem:279.17M (Peak 279.17M) | Time:00:02.73 | Syncing Cylinder.085
Fra:2 Mem:279.66M (Peak 279.66M) | Time:00:02.73 | Syncing Cylinder.086
Fra:2 Mem:280.15M (Peak 280.15M) | Time:00:02.74 | Syncing Cylinder.087
Fra:2 Mem:280.63M (Peak 280.63M) | Time:00:02.75 | Syncing Cylinder.088
Fra:2 Mem:281.12M (Peak 281.12M) | Time:00:02.77 | Syncing Cylinder.089
Fra:2 Mem:281.61M (Peak 281.61M) | Time:00:02.77 | Syncing Cylinder.090
Fra:2 Mem:282.10M (Peak 282.10M) | Time:00:02.78 | Syncing Cylinder.091
Fra:2 Mem:282.59M (Peak 282.59M) | Time:00:02.79 | Syncing Cylinder.092
Fra:2 Mem:283.07M (Peak 283.07M) | Time:00:02.80 | Syncing Cylinder.093
Fra:2 Mem:283.56M (Peak 283.56M) | Time:00:02.81 | Syncing Cylinder.094
Fra:2 Mem:284.05M (Peak 284.05M) | Time:00:02.83 | Syncing Cylinder.095
Fra:2 Mem:284.54M (Peak 284.54M) | Time:00:02.84 | Syncing Cylinder.096
Fra:2 Mem:285.02M (Peak 285.02M) | Time:00:02.86 | Syncing Cylinder.097
Fra:2 Mem:285.51M (Peak 285.51M) | Time:00:02.87 | Syncing Cylinder.098
Fra:2 Mem:286.00M (Peak 286.00M) | Time:00:02.88 | Syncing Cylinder.099
Fra:2 Mem:286.49M (Peak 286.49M) | Time:00:02.89 | Syncing Plane.062
Fra:2 Mem:286.50M (Peak 286.50M) | Time:00:02.89 | Syncing Plane.067
Fra:2 Mem:286.52M (Peak 286.52M) | Time:00:02.89 | Syncing Plane.068
Fra:2 Mem:286.54M (Peak 286.54M) | Time:00:02.89 | Syncing Plane.069
Fra:2 Mem:286.56M (Peak 286.56M) | Time:00:02.89 | Syncing Plane.074
Fra:2 Mem:286.57M (Peak 286.57M) | Time:00:02.89 | Syncing Plane.075
Fra:2 Mem:286.59M (Peak 286.59M) | Time:00:02.89 | Syncing Plane.171
Fra:2 Mem:286.61M (Peak 286.61M) | Time:00:02.89 | Syncing Plane.172
Fra:2 Mem:286.62M (Peak 286.62M) | Time:00:02.89 | Syncing Plane.173
Fra:2 Mem:286.64M (Peak 286.64M) | Time:00:02.89 | Syncing Plane.180
Fra:2 Mem:286.66M (Peak 286.66M) | Time:00:02.89 | Syncing Plane.181
Fra:2 Mem:286.68M (Peak 286.68M) | Time:00:02.89 | Syncing Plane.182
Fra:2 Mem:286.69M (Peak 286.69M) | Time:00:02.89 | Syncing Plane.231
Fra:2 Mem:286.71M (Peak 286.71M) | Time:00:02.90 | Syncing Plane.232
Fra:2 Mem:286.73M (Peak 286.73M) | Time:00:02.90 | Syncing Plane.233
Fra:2 Mem:286.74M (Peak 286.74M) | Time:00:02.90 | Syncing Plane.240
Fra:2 Mem:286.76M (Peak 286.76M) | Time:00:02.90 | Syncing Plane.241
Fra:2 Mem:286.78M (Peak 286.78M) | Time:00:02.90 | Syncing Plane.242
Fra:2 Mem:286.80M (Peak 286.80M) | Time:00:02.90 | Syncing Plane.291
Fra:2 Mem:286.81M (Peak 286.81M) | Time:00:02.90 | Syncing Plane.292
Fra:2 Mem:286.83M (Peak 286.83M) | Time:00:02.90 | Syncing Plane.293
Fra:2 Mem:286.85M (Peak 286.85M) | Time:00:02.90 | Syncing Plane.300
Fra:2 Mem:286.87M (Peak 286.87M) | Time:00:02.90 | Syncing Plane.301
Fra:2 Mem:286.88M (Peak 286.88M) | Time:00:02.90 | Syncing Plane.302
Fra:2 Mem:286.90M (Peak 286.90M) | Time:00:02.90 | Syncing Plane.351
Fra:2 Mem:286.92M (Peak 286.92M) | Time:00:02.90 | Syncing Plane.352
Fra:2 Mem:286.94M (Peak 286.94M) | Time:00:02.90 | Syncing Plane.353
Fra:2 Mem:286.95M (Peak 286.95M) | Time:00:02.90 | Syncing Plane.360
Fra:2 Mem:286.97M (Peak 286.97M) | Time:00:02.90 | Syncing Plane.361
Fra:2 Mem:286.99M (Peak 286.99M) | Time:00:02.90 | Syncing Plane.362
Fra:2 Mem:287.01M (Peak 287.01M) | Time:00:02.90 | Syncing Plane.411
Fra:2 Mem:287.02M (Peak 287.02M) | Time:00:02.90 | Syncing Plane.412
Fra:2 Mem:287.04M (Peak 287.04M) | Time:00:02.90 | Syncing Plane.413
Fra:2 Mem:287.06M (Peak 287.06M) | Time:00:02.90 | Syncing Plane.420
Fra:2 Mem:287.07M (Peak 287.07M) | Time:00:02.90 | Syncing Plane.421
Fra:2 Mem:287.09M (Peak 287.09M) | Time:00:02.90 | Syncing Plane.422
